Date,Value,ID,Description,Balance
01/09/2024,2500.00,1a2b3c4d5e6f7g8h9i0j,Salary,6001.35
03/09/2024,-15.75,2b3c4d5e6f7g8h9i0j1a,Starbucks,5985.60
05/09/2024,-45.30,3c4d5e6f7g8h9i0j1a2b,Transfer to John Doe,5940.30
07/09/2024,-120.50,4d5e6f7g8h9i0j1a2b3c,Walmart,5819.80
09/09/2024,-60.25,5e6f7g8h9i0j1a2b3c4d,Gas Station,5759.55
11/09/2024,-30.10,6f7g8h9i0j1a2b3c4d5e,Uber,5729.45
13/09/2024,-75.45,7g8h9i0j1a2b3c4d5e6f,Restaurant,5653.00
15/09/2024,500.00,8h9i0j1a2b3c4d5e6f7g,Transfer from Jane Smith,6153.00
17/09/2024,-20.60,9i0j1a2b3c4d5e6f7g8h,Public Transportation,6132.40
19/09/2024,-50.75,0j1a2b3c4d5e6f7g8h9i,Target,6081.65
21/09/2024,-35.20,1a2b3c4d5e6f7g8h9i0j,Bus Ticket,6046.45
23/09/2024,-90.15,2b3c4d5e6f7g8h9i0j1a,Concert,5956.30
25/09/2024,-25.80,3c4d5e6f7g8h9i0j1a2b,Lyft,5930.50
27/09/2024,-40.35,4d5e6f7g8h9i0j1a2b3c,Market,5890.15
29/09/2024,-15.90,5e6f7g8h9i0j1a2b3c4d,Bar,5874.25
01/10/2024,2500.00,6f7g8h9i0j1a2b3c4d5e,Salary,8374.25
03/10/2024,-18.75,7g8h9i0j1a2b3c4d5e6f,Starbucks,8355.50
05/10/2024,-50.30,8h9i0j1a2b3c4d5e6f7g,Transfer to Alice Johnson,8305.20
07/10/2024,-130.50,9i0j1a2b3c4d5e6f7g8h,Walmart,8174.70
09/10/2024,-70.25,0j1a2b3c4d5e6f7g8h9i,Gas Station,8104.45
11/10/2024,-35.10,1a2b3c4d5e6f7g8h9i0j,Uber,8069.35
13/10/2024,-85.45,2b3c4d5e6f7g8h9i0j1a,Restaurant,7983.90
15/10/2024,600.00,3c4d5e6f7g8h9i0j1a2b,Transfer from Bob Brown,8583.90
17/10/2024,-25.60,4d5e6f7g8h9i0j1a2b3c,Public Transportation,8558.30
19/10/2024,-60.75,5e6f7g8h9i0j1a2b3c4d,Target,8497.55
21/10/2024,-40.20,6f7g8h9i0j1a2b3c4d5e,Bus Ticket,8457.35
23/10/2024,-100.15,7g8h9i0j1a2b3c4d5e6f,Concert,8357.20
25/10/2024,-30.80,8h9i0j1a2b3c4d5e6f7g,Lyft,8326.40
27/10/2024,-50.35,9i0j1a2b3c4d5e6f7g8h,Market,8276.05
29/10/2024,-20.90,0j1a2b3c4d5e6f7g8h9i,Bar,8255.15
01/11/2024,2500.00,1a2b3c4d5e6f7g8h9i0j,Salary,10755.15
03/11/2024,-20.75,2b3c4d5e6f7g8h9i0j1a,Starbucks,10734.40
05/11/2024,-55.30,3c4d5e6f7g8h9i0j1a2b,Transfer to Charlie Davis,10679.10
07/11/2024,-140.50,4d5e6f7g8h9i0j1a2b3c,Walmart,10538.60
09/11/2024,-80.25,5e6f7g8h9i0j1a2b3c4d,Gas Station,10458.35
11/11/2024,-40.10,6f7g8h9i0j1a2b3c4d5e,Uber,10418.25
13/11/2024,-95.45,7g8h9i0j1a2b3c4d5e6f,Restaurant,10322.80
15/11/2024,700.00,8h9i0j1a2b3c4d5e6f7g,Transfer from David Evans,11022.80
17/11/2024,-30.60,9i0j1a2b3c4d5e6f7g8h,Public Transportation,10992.20
19/11/2024,-70.75,0j1a2b3c4d5e6f7g8h9i,Target,10921.45
21/11/2024,-45.20,1a2b3c4d5e6f7g8h9i0j,Bus Ticket,10876.25
23/11/2024,-110.15,2b3c4d5e6f7g8h9i0j1a,Concert,10766.10
25/11/2024,-35.80,3c4d5e6f7g8h9i0j1a2b,Lyft,10730.30
27/11/2024,-60.35,4d5e6f7g8h9i0j1a2b3c,Market,10669.95
29/11/2024,-25.90,5e6f7g8h9i0j1a2b3c4d,Bar,10644.05
01/12/2024,2500.00,6f7g8h9i0j1a2b3c4d5e,Salary,13144.05
03/12/2024,-22.75,7g8h9i0j1a2b3c4d5e6f,Starbucks,13121.30
05/12/2024,-60.30,8h9i0j1a2b3c4d5e6f7g,Transfer to Emily White,13061.00
07/12/2024,-150.50,9i0j1a2b3c4d5e6f7g8h,Walmart,12910.50
09/12/2024,-90.25,0j1a2b3c4d5e6f7g8h9i,Gas Station,12820.25
11/12/2024,-45.10,1a2b3c4d5e6f7g8h9i0j,Uber,12775.15
13/12/2024,-105.45,2b3c4d5e6f7g8h9i0j1a,Restaurant,12669.70
15/12/2024,800.00,3c4d5e6f7g8h9i0j1a2b,Transfer from Frank Green,13469.70
17/12/2024,-35.60,4d5e6f7g8h9i0j1a2b3c,Public Transportation,13434.10
19/12/2024,-80.75,5e6f7g8h9i0j1a2b3c4d,Target,13353.35
21/12/2024,-50.20,6f7g8h9i0j1a2b3c4d5e,Bus Ticket,13303.15
23/12/2024,-120.15,7g8h9i0j1a2b3c4d5e6f,Concert,13183.00
25/12/2024,-40.80,8h9i0j1a2b3c4d5e6f7g,Lyft,13142.20
27/12/2024,-70.35,9i0j1a2b3c4d5e6f7g8h,Market,13071.85
29/12/2024,-30.90,0j1a2b3c4d5e6f7g8h9i,Bar,13040.95
31/12/2024,2500.00,1a2b3c4d5e6f7g8h9i0j,Salary,15540.95
02/01/2025,-25.75,2b3c4d5e6f7g8h9i0j1a,Starbucks,15515.20
04/01/2025,-65.30,3c4d5e6f7g8h9i0j1a2b,Transfer to George Brown,15449.90
06/01/2025,-160.50,4d5e6f7g8h9i0j1a2b3c,Walmart,15289.40
08/01/2025,-100.25,5e6f7g8h9i0j1a2b3c4d,Gas Station,15189.15
10/01/2025,-50.10,6f7g8h9i0j1a2b3c4d5e,Uber,15139.05
12/01/2025,-115.45,7g8h9i0j1a2b3c4d5e6f,Restaurant,15023.60
14/01/2025,900.00,8h9i0j1a2b3c4d5e6f7g,Transfer from Helen Black,15923.60
16/01/2025,-40.60,9i0j1a2b3c4d5e6f7g8h,Public Transportation,15883.00
18/01/2025,-90.75,0j1a2b3c4d5e6f7g8h9i,Target,15792.25
20/01/2025,-55.20,1a2b3c4d5e6f7g8h9i0j,Bus Ticket,15737.05
22/01/2025,-130.15,2b3c4d5e6f7g8h9i0j1a,Concert,15606.90
24/01/2025,-45.80,3c4d5e6f7g8h9i0j1a2b,Lyft,15561.10
26/01/2025,-80.35,4d5e6f7g8h9i0j1a2b3c,Market,15480.75
28/01/2025,-35.90,5e6f7g8h9i0j1a2b3c4d,Bar,15444.85
30/01/2025,2500.00,6f7g8h9i0j1a2b3c4d5e,Salary,17944.85
01/02/2025,-28.75,7g8h9i0j1a2b3c4d5e6f,Starbucks,17916.10
03/02/2025,-70.30,8h9i0j1a2b3c4d5e6f7g,Transfer to Ian White,17845.80
05/02/2025,-170.50,9i0j1a2b3c4d5e6f7g8h,Walmart,17675.30
07/02/2025,-110.25,0j1a2b3c4d5e6f7g8h9i,Gas Station,17565.05
09/02/2025,-55.10,1a2b3c4d5e6f7g8h9i0j,Uber,17509.95
11/02/2025,-125.45,2b3c4d5e6f7g8h9i0j1a,Restaurant,17384.50
13/02/2025,1000.00,3c4d5e6f7g8h9i0j1a2b,Transfer from Jack White,18384.50
15/02/2025,-45.60,4d5e6f7g8h9i0j1a2b3c,Public Transportation,18338.90
17/02/2025,-100.75,5e6f7g8h9i0j1a2b3c4d,Target,18238.15
19/02/2025,-60.20,6f7g8h9i0j1a2b3c4d5e,Bus Ticket,18177.95
21/02/2025,-140.15,7g8h9i0j1a2b3c4d5e6f,Concert,18037.80
23/02/2025,-50.80,8h9i0j1a2b3c4d5e6f7g,Lyft,17987.00
25/02/2025,-90.35,9i0j1a2b3c4d5e6f7g8h,Market,17896.65
27/02/2025,-40.90,0j1a2b3c4d5e6f7g8h9i,Bar,17855.75